001.png,20.43,0.860
002.png,17.38,0.812
003.png,22.24,0.843
004.png,15.89,0.822
005.png,18.59,0.898
006.png,19.96,0.872
007.png,18.21,0.819
008.png,16.58,0.789
009.png,17.45,0.830
010.png,17.39,0.862
011.png,16.79,0.818
012.png,18.21,0.869
013.png,14.44,0.806
014.png,16.44,0.891
015.png,18.25,0.901
016.png,16.59,0.829
017.png,14.66,0.830
018.png,16.13,0.801
019.png,21.17,0.907
020.png,23.88,0.950
021.png,15.83,0.831
022.png,17.58,0.819
023.png,17.24,0.794
024.png,17.28,0.878
025.png,17.99,0.830
026.png,16.38,0.804
027.png,16.29,0.845
028.png,19.49,0.855
029.png,18.61,0.830
030.png,19.24,0.820
031.png,17.50,0.831
032.png,20.14,0.917
033.png,19.84,0.856
034.png,16.71,0.823
035.png,17.36,0.846
036.png,17.73,0.861
037.png,18.43,0.842
038.png,16.74,0.857
039.png,16.41,0.847
040.png,15.60,0.869
041.png,16.30,0.832
042.png,19.16,0.857
043.png,17.23,0.814
044.png,17.94,0.842
045.png,19.15,0.866
046.png,15.33,0.724
047.png,15.32,0.843
048.png,15.05,0.854
049.png,17.04,0.874
050.png,18.83,0.796
051.png,17.32,0.862
052.png,16.66,0.872
053.png,16.03,0.820
054.png,14.93,0.840
055.png,15.58,0.868
056.png,15.66,0.817
057.png,16.13,0.846
058.png,18.06,0.906
059.png,18.29,0.865
060.png,17.60,0.868
061.png,17.73,0.897
062.png,17.44,0.834
063.png,17.26,0.857
064.png,16.90,0.872
065.png,17.03,0.822
066.png,18.04,0.826
067.png,19.25,0.860
068.png,17.82,0.849
069.png,15.91,0.831
070.png,17.65,0.839
071.png,17.13,0.857
072.png,18.90,0.872
073.png,18.92,0.857
074.png,16.41,0.787
075.png,19.74,0.828
076.png,17.67,0.776
077.png,19.94,0.884
078.png,18.73,0.813
079.png,19.82,0.866
080.png,19.70,0.890
081.png,18.99,0.879
082.png,17.29,0.836
083.png,20.56,0.840
084.png,20.07,0.846
085.png,19.80,0.871
086.png,20.88,0.872
087.png,20.49,0.901
088.png,15.75,0.837
089.png,17.63,0.878
090.png,15.61,0.798
091.png,15.98,0.839
092.png,19.60,0.859
093.png,18.35,0.802
094.png,19.72,0.859
095.png,15.94,0.811
096.png,19.48,0.882
097.png,19.74,0.843
098.png,18.39,0.873
099.png,18.68,0.895
100.png,18.35,0.893
101.png,18.56,0.823
102.png,18.41,0.865
103.png,17.65,0.894
104.png,16.57,0.869
105.png,16.57,0.845
106.png,18.57,0.893
107.png,16.27,0.826
108.png,16.36,0.883
109.png,16.12,0.876
110.png,19.17,0.921
111.png,16.57,0.792
112.png,17.51,0.793
113.png,20.19,0.816
114.png,15.03,0.736
115.png,16.59,0.855
116.png,16.11,0.845
117.png,16.60,0.852
118.png,16.95,0.863
119.png,16.76,0.787
120.png,16.21,0.850
121.png,19.41,0.855
122.png,19.18,0.832
123.png,16.95,0.785
124.png,20.00,0.863
125.png,18.92,0.817
126.png,20.04,0.838
127.png,16.43,0.839
128.png,18.83,0.864
129.png,18.18,0.864
130.png,17.40,0.843
131.png,18.06,0.821
132.png,18.51,0.813
133.png,17.41,0.835
134.png,19.53,0.832
135.png,19.83,0.823
136.png,19.60,0.847
137.png,18.49,0.853
138.png,17.48,0.838
139.png,16.10,0.815
140.png,17.86,0.835
141.png,19.98,0.830
142.png,17.76,0.857
143.png,16.81,0.813
144.png,17.74,0.849
145.png,19.37,0.890
146.png,16.54,0.815
147.png,17.22,0.861
148.png,18.36,0.881
149.png,17.16,0.859
150.png,18.51,0.857
151.png,17.04,0.854
152.png,17.30,0.861
153.png,16.74,0.832
154.png,16.92,0.806
155.png,17.33,0.826
156.png,16.62,0.812
157.png,17.88,0.847
158.png,17.02,0.836
159.png,19.63,0.840
160.png,15.24,0.818
161.png,17.44,0.872
162.png,19.17,0.839
163.png,15.01,0.798
164.png,19.09,0.816
165.png,17.73,0.825
166.png,16.67,0.770
167.png,19.77,0.852
168.png,18.50,0.860
169.png,16.95,0.817
170.png,19.58,0.863
171.png,16.69,0.842
172.png,14.10,0.724
173.png,16.25,0.850
174.png,15.91,0.869
175.png,15.44,0.798
176.png,14.70,0.785
177.png,15.04,0.855
178.png,15.58,0.829
179.png,16.83,0.805
180.png,16.92,0.863
181.png,18.77,0.843
182.png,19.63,0.861
183.png,15.98,0.855
184.png,15.62,0.855
185.png,19.29,0.909
186.png,20.34,0.882
187.png,18.37,0.847
188.png,18.23,0.814
189.png,17.28,0.762
190.png,17.21,0.809
191.png,23.50,0.951
192.png,17.54,0.879
193.png,14.29,0.733
194.png,16.37,0.808
195.png,16.00,0.847
196.png,16.04,0.816
197.png,15.15,0.796
198.png,15.50,0.852
199.png,15.28,0.843
200.png,15.32,0.808
201.png,16.78,0.829
202.png,18.36,0.835
203.png,18.61,0.789
204.png,20.00,0.856
205.png,20.11,0.846
206.png,20.85,0.846
207.png,18.93,0.883
208.png,15.75,0.810
209.png,14.99,0.797
210.png,17.13,0.882
211.png,17.91,0.814
212.png,19.78,0.920
213.png,17.78,0.825
214.png,15.06,0.827
215.png,15.85,0.851
216.png,17.88,0.820
217.png,17.34,0.829
218.png,17.86,0.868
219.png,17.33,0.825
220.png,17.06,0.824
221.png,19.49,0.848
222.png,18.80,0.900
223.png,18.17,0.836
224.png,17.52,0.783
225.png,17.42,0.800
226.png,18.91,0.829
227.png,17.33,0.800
228.png,17.06,0.824
229.png,17.97,0.832
230.png,16.30,0.777
231.png,18.57,0.888
232.png,17.87,0.840
