001.png,20.85,0.921
002.png,19.10,0.893
003.png,17.69,0.906
004.png,19.02,0.902
005.png,19.72,0.910
006.png,19.83,0.896
007.png,18.56,0.890
008.png,19.06,0.892
009.png,18.52,0.893
010.png,20.64,0.888
011.png,18.08,0.877
012.png,19.17,0.890
013.png,20.61,0.850
014.png,19.99,0.898
015.png,18.86,0.888
016.png,18.80,0.844
017.png,18.39,0.859
018.png,18.76,0.884
019.png,19.92,0.915
020.png,21.01,0.937
021.png,17.46,0.842
022.png,17.44,0.872
023.png,19.86,0.896
024.png,18.59,0.897
025.png,20.21,0.914
026.png,18.99,0.861
027.png,19.52,0.867
028.png,19.58,0.883
029.png,19.31,0.886
030.png,19.65,0.865
031.png,20.48,0.878
032.png,20.11,0.900
033.png,18.88,0.892
034.png,19.78,0.835
035.png,19.96,0.865
036.png,18.35,0.870
037.png,20.38,0.879
038.png,18.27,0.882
039.png,18.68,0.906
040.png,19.11,0.882
041.png,18.73,0.881
042.png,19.75,0.894
043.png,19.20,0.879
044.png,21.03,0.905
045.png,20.13,0.893
046.png,20.95,0.922
047.png,16.45,0.887
048.png,18.72,0.908
049.png,20.84,0.904
050.png,18.69,0.886
051.png,20.92,0.872
052.png,19.50,0.922
053.png,18.69,0.910
054.png,19.39,0.902
055.png,18.87,0.898
056.png,18.95,0.912
057.png,17.92,0.905
058.png,18.48,0.898
059.png,18.79,0.878
060.png,19.24,0.892
061.png,19.12,0.899
062.png,19.85,0.893
063.png,18.45,0.895
064.png,19.92,0.890
065.png,18.73,0.873
066.png,20.55,0.902
067.png,18.61,0.890
068.png,18.68,0.862
069.png,18.61,0.852
070.png,19.19,0.909
071.png,19.56,0.891
072.png,18.97,0.862
073.png,18.53,0.865
074.png,18.81,0.873
075.png,18.99,0.883
076.png,20.78,0.899
077.png,21.20,0.902
078.png,19.58,0.889
079.png,18.88,0.896
080.png,18.18,0.900
081.png,18.27,0.897
082.png,20.53,0.913
083.png,19.89,0.913
084.png,20.23,0.925
085.png,21.23,0.939
086.png,19.18,0.906
087.png,20.31,0.915
088.png,20.28,0.914
089.png,20.12,0.921
090.png,20.51,0.922
091.png,21.23,0.926
092.png,20.90,0.927
093.png,19.00,0.884
094.png,19.32,0.910
095.png,20.33,0.928
096.png,21.43,0.920
097.png,20.84,0.912
098.png,19.94,0.908
099.png,18.32,0.919
100.png,19.72,0.899
101.png,20.73,0.913
102.png,18.22,0.889
103.png,20.03,0.892
104.png,18.56,0.891
105.png,18.39,0.869
106.png,18.50,0.899
107.png,18.31,0.894
108.png,19.74,0.905
109.png,19.80,0.897
110.png,20.96,0.926
111.png,19.60,0.889
112.png,20.77,0.903
113.png,19.88,0.903
114.png,20.37,0.928
115.png,19.50,0.878
116.png,18.95,0.871
117.png,19.07,0.869
118.png,18.74,0.881
